,day,groups,conversion_rate
0,1,A,0.083333
1,1,B,0.117808
2,2,A,0.118694
3,2,B,0.112994
4,3,A,0.089021
5,3,B,0.126506
6,4,A,0.106017
7,4,B,0.110512
8,5,A,0.127219
9,5,B,0.098592
10,6,A,0.109589
11,6,B,0.104712
12,7,A,0.089552
13,7,B,0.146067
14,8,A,0.144
15,8,B,0.113772
16,9,A,0.072917
17,9,B,0.108504
18,10,A,0.075419
19,10,B,0.121762
20,11,A,0.114943
21,11,B,0.150396
22,12,A,0.123529
23,12,B,0.106267
24,13,A,0.106061
25,13,B,0.119565
26,14,A,0.097884
27,14,B,0.148459
